Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Adilabad,GEN,Andhra Pradesh,Telangana Rashtra Samithi,72.80%,M,Telugu Desam,6.29,MADHUSUDHAN REDDY THAKKALA,0,Graduate Professional,7550000,120000,59,15.14
Adilabad,GEN,Andhra Pradesh,INC,65%,M,Telugu Desam,6.29,Allola Indrakaran Reddy,0,Others,,,,15.14
Adoor,SC,Kerala,Communist Party Of India,71.10%,M,INC,5.57,CHENGARA SURENDRAN,0,Graduate,6274,41438,36,-1.39
Agra,GEN,Uttar Pradesh,Samajwadi Party,44.90%,M,Samajwadi Party,5,RAJ BABBAR,2,Graduate,22326400,1.00E+06,52,3.85
Ahmedabad,GEN,Gujarat,BJP,39.70%,M,BJP,12.5,HARIN PATHAK,1,Graduate Professional,10287931,0,56,39.89
Ahmednagar,GEN,Maharashtra,Nationalist Congress Party,53.00%,M,BJP,10.7,GADAKH TUKARAM GANGADHAR,2,Graduate,23446680,4680000,51,10.43
Ajmer,GEN,Rajasthan,BJP,44.00%,M,BJP,2.12,RASA SINGH RAWAT,0,Post Graduate,1471446,0,61,81.37
Akabarpur,GEN,Uttar Pradesh ,SP,NA,M,Bahujan Samaj Party,5,Shankhlal Majhi,,Others,,,,3.85
Akbarpur,SC,Uttar Pradesh ,Bahujan Samaj Party,51.30%,F,Bahujan Samaj Party,5,MAYAWATI,1,Graduate Professional,113544000,0,48,3.85
Akola,GEN,Maharashtra,BJP,57.80%,M,Bharipa Bahujan Mahasangh,10.7,DHOTRE SANJAY SHAMRAO,0,Graduate Professional,12289645,2408285,45,10.43
Aligarh,GEN,Uttar Pradesh,INC,47.20%,M,BJP,5,BIJENDRA SINGH,0,Graduate,2892600,0,49,3.85
Alipurduars,ST,West Bengal,Revolutionary Socialist Party,80.10%,M,Revolutionary Socialist Party,2.66,Joachim Baxla,0,Graduate,485800,0,49,3.56
Allahabad,GEN,Uttar Pradesh ,Samajwadi Party,42.10%,M,BJP,5,KUNWAR REWATI RAMAN SINGH URF MANI JI,1,Graduate Professional,22837000,1050000,60,3.85
Alleppey,GEN,Kerala,Communist Party Of India (MARXIST),75.00%,M,INC,5.57,DR. K. S. MANOJ,0,Doctorate,800231,54317,39,-1.39
Almora,GEN,Uttarakhand,BJP,49.80%,M,BJP,17.77,,,Others,,,,4.87
Alwar,GEN,Rajasthan,INC,42.80%,M,BJP,2.12,DR. KARAN SINGH YADAV,0,Post Graduate,4023529,1022864,59,81.37
Amalapuram,SC,Andhra Pradesh,INC,77.70%,M,Telugu Desam,6.29,RAHUL GANDHI,,Others,,,32,15.14
Ambala,SC,Haryana,INC,70.70%,F,BJP,9.42,SELJA,0,Post Graduate,7176087,0,41,7.73
Amethi,GEN,Uttar Pradesh ,INC,44.50%,M,INC,5,RAHUL GANDHI,0,Post Graduate,5538123,0,32,3.85
Amravati,GEN,Maharashtra,Shiv Sena,56.10%,M,Shiv Sena,10.7,ANANT GUDHE,0,Graduate,3532477,217263,48,10.43
Amreli,GEN,Gujarat,INC,46.40%,M,BJP,12.5,VIRJIBHAI THUMMAR,1,Graduate,15227334,87000,43,39.89
Amritsar,GEN,Punjab,BJP,67.20%,M,INC,4.08,Navjot Singh Sidhu,,Others,,,,5.76
Amritsar,GEN,Punjab,BJP,55.10%,M,INC,4.08,NAVJOT SINGH SIDHU,1,Graduate,64211374,398529,41,5.76
Amroha,GEN,Uttar Pradesh ,Independent,65.90%,M,Bahujan Samaj Party,5,HARISH NAGPAL,0,10th Pass,67234623,0,35,3.85
Anakapalli,GEN,Andhra Pradesh,Telugu Desam,76.40%,M,Telugu Desam,6.29,CHALAPATHIRAO PAPPALA,0,Graduate,5396505,246000,58,15.14
