Constituency,Type,State,Party,Turnout,Gender,PrevParty,GSDP,Candidate,Criminal.Case,Education,Total.Assets,Liabilities,CandidateAge,GrowthRateAgri
Adilabad,ST,Telangana,Telangana Rashtra Samithi,75.40%,M,TDP,2.44,Godam Nagesh,0,Post Graduate,10378857,148784,49,6.15
Agra,SC,Uttar Pradesh,BJP,59.00%,M,BJP,0.36,Dr. Ram Shankar Katheria,21,Doctorate,14634885,4035000,49,2.59
Ahmadnagar,GEN,Maharashtra,BJP,62.50%,M,BJP,8.78,Gandhi Dilipkumar Mansukhlal,16,10th Pass,65316725,34176876,64,3.99
Ahmedabad East,GEN,Gujarat,BJP,61.50%,M,BJP,7.12,Paresh Rawal,0,12th Pass,795211576,81472461,59,-6.96
Ahmedabad West,SC,Gujarat,BJP,62.90%,M,BJP,7.12,Dr. Kirit P Solanki,0,Post Graduate,34085266,208007,64,-6.96
Ajmer,GEN,Rajasthan,BJP,68.70%,M,INC,3.55,Sanwar Lal Jat,0,Doctorate,18064656,0,59,0.22
Akbarpur,GEN,Uttar Pradesh,BJP,54.90%,M,INC,0.36,Devendra Singh @ Bhole Singh,0,10th Pass,28546617,559965,60,2.59
Akola,GEN,Maharashtra,BJP,59.40%,M,BJP,8.78,Dhotre Sanjay Shamrao,3,Graduate Professional,48501735,6928458,55,3.99
Alappuzha,GEN,Kerala,INC,78.50%,M,INC,18.41,K C Venugopal,0,Post Graduate,12856075,456010,51,4.39
Alathur,SC,Kerala,Communist Party Of India (MARXIST),76.20%,M,CPM,18.41,P.K.Biju,0,Post Graduate,3231047,341749,39,4.39
Aligarh,GEN,Uttar Pradesh,BJP,59.40%,M,BSP,0.36,Satish Kumar,1,10th Pass,52180006,754800,42,2.59
Alipurduars,ST,West Bengal,All India Trinamool Congress,83.20%,M,RSP,8.74,Dasrath Tirkey,0,Graduate,3550353,293909,47,5.38
Allahabad,GEN,Uttar Pradesh,BJP,53.50%,M,SP,0.36,Shyama Charan Gupta,0,Graduate Professional,472851707,0,69,2.59
Almora,SC,Uttarakhand,BJP,52.30%,M,INC,6.3,Ajay Tamta,0,12th Pass,6366653,2757846,41,4.12
Alwar,GEN,Rajasthan,BJP,65.30%,M,INC,3.55,Chand Nath,0,Graduate,199653,0,58,0.22
Amalapuram,SC,Andhra Pradesh,Telugu Desam,82.60%,M,INC,2.44,Dr Pandula Ravindra Babu,0,Graduate Professional,27131000,3.00E+06,58,6.15
Ambala,SC,Haryana,BJP,72.00%,M,INC,3.57,Rattan Lal Kataria,0,Post Graduate,42150634,843229,62,3.18
Ambedkar Nagar,GEN,Uttar Pradesh,BJP,60.20%,M,BSP,0.36,Hari Om Pandey,0,Post Graduate,15318114,0,58,2.59
Amethi,GEN,Uttar Pradesh,INC,52.40%,M,INC,0.36,Rahul Gandhi,0,Post Graduate,94006549,1800000,43,2.59
Amravati,SC,Maharashtra,Shiv Sena,62.30%,M,SHS,8.78,Adsul Anandrao Vithoba,1,Graduate,32596257,1587104,66,3.99
Amreli,GEN,Gujarat,BJP,54.40%,M,BJP,7.12,Kachhadiya Naranbhai Bhikhabhai,2,12th Pass,34164801,4971590,58,-6.96
Amritsar,GEN,Punjab,INC,68.20%,M,BJP,2.55,Captain Amarinder Singh,3,Graduate,863564071,4853456,72,0.44
Amroha,GEN,Uttar Pradesh,BJP,71.00%,M,RLD,0.36,Kanwar Singh Tanwar,0,5th Pass,1788430770,4036151,52,2.59
Anakapalli,GEN,Andhra Pradesh,Telugu Desam,81.90%,M,INC,2.44,Muttamsetti Srinivasa Rao (AVANTHI),1,Others,213294327,64899193,47,6.15
Anand,GEN,Gujarat,BJP,64.90%,M,INC,7.12,Dilip Patel,4,10th Pass,75998610,7632620,59,-6.96
Anandpur Sahib,GEN,Punjab,Shiromani Akali Dal,69.40%,M,INC,2.55,Prem Singh Chandumajra,0,Post Graduate,141599902,2248200,64,0.44
Anantapur,GEN,Andhra Pradesh,Telugu Desam,78.40%,M,INC,2.44,J.C. Divakar Reddi,0,12th Pass,226481020,3265000,70,6.15
Anantnag,GEN,Jammu & Kashmir,Jammu & Kashmir Peoples Democratic Party,28.80%,F,JKN,1.18,Mehbooba Mufti,1,Graduate Professional,5200000,0,54,4.97
Andaman And Nicobar Islands,GEN,Andaman & Nicobar Islands,BJP,70.70%,M,BJP,1.62,Bishnu Pada Ray,1,Graduate,5658980,175115,64,2.52
Aonla,GEN,Uttar Pradesh,BJP,60.20%,M,BJP,0.36,Dharmendra Kumar,0,10th Pass,5364652,0,49,2.59
Arakkonam,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,77.70%,M,DMK,3.11,"Hari, G.",4,Post Graduate,32966706,0,53,7.33
Arambagh,SC,West Bengal,All India Trinamool Congress,85.10%,F,CPM,8.74,Aparupa Poddar (AFRIN ALI),0,Post Graduate,3271869,2.00E+05,28,5.38
Arani,GEN,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,80.00%,M,INC,3.11,V.Elumalai,0,Graduate Professional,70492462,25000,58,7.33
Araria,GEN,Bihar,Rashtriya Janata Dal,61.50%,M,BJP,11.53,Tasleem Uddin,4,Literate,42368468,1026919,72,-10.06
Arrah,GEN,Bihar,BJP,48.80%,M,JD(U),11.53,Raj Kumar Singh,0,Graduate Professional,48403293,0,61,-10.06
Aruku,ST,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,71.50%,F,INC,2.44,Kothapalli Geetha,0,Post Graduate,65147467,43261606,43,6.15
