"","Candidate","Constituency","Party","Criminal.Case","Education","Total.Assets","Liabilities"
"1","Godam Nagesh","ADILABAD","TRS",0,"Post Graduate",10378857,148784
"3","Dr. Ramshankar Katheria","AGRA","BJP",21,"Doctorate",14634885,4035000
"5","Paresh Dahyalal Rawal","AHMEDABAD EAST","BJP",0,"12th Pass",795211576,81472461
"7","Dr. Solanki Kiritbhai Premjibhai","AHMEDABAD WEST","BJP",0,"Post Graduate",34085266,208007
"9","Gandhi Dilipkumar Mansukhlal","AHMEDNAGAR","BJP",16,"10th Pass",65316725,34176876
"11","Sanwar Lal Jat","AJMER","BJP",0,"Doctorate",18064656,0
"13","Devendra Singh Urf Bhole Singh","AKBARPUR","BJP",0,"10th Pass",28546617,559965
"15","Dhotre Sanjay Shyamrao","AKOLA","BJP",3,"Graduate Professional",48501735,6928458
"17","K C Venugopal","ALAPPUZHA","INC",0,"Post Graduate",12856075,456010
"19","P.K.Biju","ALATHUR","CPI(M)",0,"Post Graduate",3231047,341749
"21","Satish Kumar","ALIGARH","BJP",1,"10th Pass",52180006,754800
"23","Dasrath Tirkey","ALIPURDUARS","AITC",0,"Graduate",3550353,293909
"25","Shyama Charan Gupta","ALLAHABAD","BJP",0,"Graduate Professional",472851707,0
"27","Ajay Tamta","ALMORA","BJP",0,"12th Pass",6366653,2757846
"29","Mahant Chand Nath Yogi","ALWAR","BJP",0,"Graduate",199653,0
"31","Pandula Ravindra Babu","AMALAPURAM","TDP",0,"Graduate Professional",27131000,3e+06
"33","Rattan Lal Kataria","AMBALA","BJP",0,"Post Graduate",42150634,843229
"35","Hariom","AMBEDKAR NAGAR","BJP",0,"Post Graduate",15318114,0
"37","Rahul Gandhi","AMETHI","INC",0,"Post Graduate",94006549,1800000
"39","Adsul Anandrao Vithoba","AMRAVATI","SHS",1,"Graduate",32596257,1587104
"41","Kachhadiya Naranbhai Bhikhabhai","AMRELI","BJP",2,"12th Pass",34164801,4971590
"43","Captain Amarinder Singh","AMRITSAR","INC",3,"Graduate",863564071,4853456
"45","Kanwar Singh Tanwar","AMROHA","BJP",0,"5th Pass",1788430770,4036151
"47","Muttamsetti Srinivasa Rao","ANAKAPALLE","TDP",1,"Illiterate",213294327,64899193
"49","Patel Dilipbhai Manibhai","ANAND","BJP",4,"10th Pass",75998610,7632620
"51","Prem Singh Chandumajra","ANANDPUR SAHIB","SAD",0,"Post Graduate",141599902,2248200
"53","Jutur Chinna Reddy Divakar Reddy","ANANTAPUR","TDP",0,"12th Pass",226481020,3265000
"55","Mehbooba Mufti","ANANTNAG","JKPDP",1,"Graduate Professional",5200000,0
"57","Bishnu Pada Ray","ANDAMAN & NICOBAR ISLANDS","BJP",1,"Graduate",5658980,175115
"59","Dharmendra Kumar","AONLA","BJP",0,"10th Pass",5364652,0
"61","Hari G","ARAKKONAM","AIADMK",4,"Post Graduate",32966706,0
"63","Kothapalli Geetha","ARAKU","Yuvajana Sramika Rythu Congress Party",0,"Post Graduate",65147467,43261606
"65","Aparupa Poddar (Afrin Ali)","ARAMBAG","AITC",0,"Post Graduate",3271869,2e+05
"67","V.Elumalai","ARANI","AIADMK",0,"Graduate Professional",70492462,25000
"69","Taslim Uddin","ARARIA","RJD",4,"Literate",42368468,1026919
"71","Raj Kumar Singh","ARRAH","BJP",0,"Graduate Professional",48403293,0
"73","Ninong Ering","ARUNACHAL EAST","INC",0,"Graduate",88065000,0
"75","Kiren Rijiju","ARUNACHAL WEST","BJP",0,"Graduate Professional",12539868,475000
"77","Babul Supriya Boral (Babul Supriyo)","ASANSOL","BJP",0,"Graduate",75289537,14748456
"79","Ladu Kishore Swain","ASKA","BJD",0,"Graduate",3488390,25000
"81","A Sampath","ATTINGAL","CPI(M)",1,"Doctorate",17791149,1421392
"83","Sushil Kumar Singh","AURANGABAD","BJP",5,"Post Graduate",127845854,7321626
"85","Chandrakant Bhaurao Khaire","AURANGABAD","SHS",8,"12th Pass",90614560,20307244
"87","Biren Singh Engti","AUTONOMOUS DISTRICT","INC",0,"Post Graduate",35367390,0
"89","Mulayam Singh Yadav","AZAMGARH","SP",0,"Post Graduate",159671544,0
"91","Dharmandra Yadav","BADAUN","SP",0,"Post Graduate",24987715,8950291
"93","P.C. Gaddigoudar","BAGALKOT","BJP",0,"Graduate Professional",36362500,9589199
"95","Dr. Satyapal Singh","BAGHPAT","BJP",0,"Doctorate",67402076,352000
"97","Adhir Ranjan Chowdhury","BAHARAMPUR","INC",16,"10th Pass",81465854,0
"99","Savitri Bai Foole","BAHRAICH","BJP",8,"Graduate",1121491,538145
"101","Bodhsingh Bhagat","BALAGHAT","BJP",0,"Graduate",24959436,1393732
"103","Rabindra Kumar Jena","BALASORE","BJD",0,"Post Graduate",570139716,55893020
"105","Bharat Singh","BALLIA","BJP",3,"Graduate",21130089,1102553
"107","Arpita Ghosh","BALURGHAT","AITC",0,"Graduate",544790,0
"109","Chaudhry Haribhai Parthibhai","BANASKANTHA","BJP",0,"Graduate",15773564,0
"111","Bhairon Prasad Mishra","BANDA","BJP",3,"12th Pass",50034910,6e+05
"113","P.C. Mohan","BANGALORE CENTRAL","BJP",2,"12th Pass",475796999,261111285
"115","D.V. Sadananda Gowda","BANGALORE NORTH","BJP",0,"Graduate Professional",98888874,37020152
"117","D.K.Suresh","BANGALORE RURAL","INC",8,"12th Pass",858713138,184854756
