"","Constituency","Type","State","Party","Turnout","Gender","PrevParty","GSDP","Candidate","Criminal.Case","Education","Total.Assets","Liabilities","CandidateAge","GrowthRateAgri","Year","PredictedValue"
"1","Adilabad","ST","Telangana","Others",75.4,"M","Others",2.44,"Godam Nagesh",0,"Post Graduate",10378857,148784,49,6.15,"2014","INC"
"2","Agra","SC","Uttar Pradesh","BJP",59,"M","BJP",0.36,"Dr. Ram Shankar Katheria",21,"Doctorate",14634885,4035000,49,2.59,"2014","Others"
"3","Ahmadnagar","GEN","Maharashtra","BJP",62.5,"M","BJP",8.78,"Gandhi Dilipkumar Mansukhlal",16,"10th Pass",65316725,34176876,64,3.99,"2014","Others"
"4","Ahmedabad East","GEN","Gujarat","BJP",61.5,"M","BJP",7.12,"Paresh Rawal",0,"12th Pass",795211576,81472461,59,-6.96,"2014","BJP"
"5","Ahmedabad West","SC","Gujarat","BJP",62.9,"M","BJP",7.12,"Dr. Kirit P Solanki",0,"Post Graduate",34085266,208007,64,-6.96,"2014","BJP"
"6","Ajmer","GEN","Rajasthan","BJP",68.7,"M","INC",3.55,"Sanwar Lal Jat",0,"Doctorate",18064656,0,59,0.22,"2014","INC"
"7","Akbarpur","GEN","Uttar Pradesh","BJP",54.9,"M","INC",0.36,"Devendra Singh @ Bhole Singh",0,"10th Pass",28546617,559965,60,2.59,"2014","INC"
"8","Akola","GEN","Maharashtra","BJP",59.4,"M","BJP",8.78,"Dhotre Sanjay Shamrao",3,"Graduate Professional",48501735,6928458,55,3.99,"2014","INC"
"9","Alappuzha","GEN","Kerala","INC",78.5,"M","INC",18.41,"K C Venugopal",0,"Post Graduate",12856075,456010,51,4.39,"2014","INC"
"10","Alathur","SC","Kerala","Others",76.2,"M","Others",18.41,"P.K.Biju",0,"Post Graduate",3231047,341749,39,4.39,"2014","Others"
"11","Aligarh","GEN","Uttar Pradesh","BJP",59.4,"M","Others",0.36,"Satish Kumar",1,"10th Pass",52180006,754800,42,2.59,"2014","Others"
"12","Alipurduars","ST","West Bengal","Others",83.2,"M","Others",8.74,"Dasrath Tirkey",0,"Graduate",3550353,293909,47,5.38,"2014","Others"
"13","Allahabad","GEN","Uttar Pradesh","BJP",53.5,"M","Others",0.36,"Shyama Charan Gupta",0,"Graduate Professional",472851707,0,69,2.59,"2014","Others"
"14","Almora","SC","Uttarakhand","BJP",52.3,"M","INC",6.3,"Ajay Tamta",0,"12th Pass",6366653,2757846,41,4.12,"2014","Others"
"15","Alwar","GEN","Rajasthan","BJP",65.3,"M","INC",3.55,"Chand Nath",0,"Graduate",199653,0,58,0.22,"2014","INC"
"16","Amalapuram","SC","Andhra Pradesh","Others",82.6,"M","INC",2.44,"Dr Pandula Ravindra Babu",0,"Graduate Professional",27131000,3e+06,58,6.15,"2014","INC"
"17","Ambala","SC","Haryana","BJP",72,"M","INC",3.57,"Rattan Lal Kataria",0,"Post Graduate",42150634,843229,62,3.18,"2014","INC"
"18","Ambedkar Nagar","GEN","Uttar Pradesh","BJP",60.2,"M","Others",0.36,"Hari Om Pandey",0,"Post Graduate",15318114,0,58,2.59,"2014","Others"
"19","Amethi","GEN","Uttar Pradesh","INC",52.4,"M","INC",0.36,"Rahul Gandhi",0,"Post Graduate",94006549,1800000,43,2.59,"2014","INC"
"20","Amravati","SC","Maharashtra","Others",62.3,"M","Others",8.78,"Adsul Anandrao Vithoba",1,"Graduate",32596257,1587104,66,3.99,"2014","Others"
"21","Amreli","GEN","Gujarat","BJP",54.4,"M","BJP",7.12,"Kachhadiya Naranbhai Bhikhabhai",2,"12th Pass",34164801,4971590,58,-6.96,"2014","BJP"
"22","Amritsar","GEN","Punjab","INC",68.2,"M","BJP",2.55,"Captain Amarinder Singh",3,"Graduate",863564071,4853456,72,0.44,"2014","INC"
"23","Amroha","GEN","Uttar Pradesh","BJP",71,"M","Others",0.36,"Kanwar Singh Tanwar",0,"5th Pass",1788430770,4036151,52,2.59,"2014","Others"
"24","Anakapalli","GEN","Andhra Pradesh","Others",81.9,"M","INC",2.44,"Muttamsetti Srinivasa Rao (AVANTHI)",1,"Others",213294327,64899193,47,6.15,"2014","INC"
"25","Anand","GEN","Gujarat","BJP",64.9,"M","INC",7.12,"Dilip Patel",4,"10th Pass",75998610,7632620,59,-6.96,"2014","BJP"
"26","Anandpur Sahib","GEN","Punjab","Others",69.4,"M","INC",2.55,"Prem Singh Chandumajra",0,"Post Graduate",141599902,2248200,64,0.44,"2014","INC"
"27","Anantapur","GEN","Andhra Pradesh","Others",78.4,"M","INC",2.44,"J.C. Divakar Reddi",0,"12th Pass",226481020,3265000,70,6.15,"2014","INC"
"28","Anantnag","GEN","Jammu & Kashmir","Others",28.8,"F","Others",1.18,"Mehbooba Mufti",1,"Graduate Professional",5200000,0,54,4.97,"2014","Others"
"29","Andaman And Nicobar Islands","GEN","Andaman & Nicobar Islands","BJP",70.7,"M","BJP",1.62,"Bishnu Pada Ray",1,"Graduate",5658980,175115,64,2.52,"2014","INC"
"30","Aonla","GEN","Uttar Pradesh","BJP",60.2,"M","BJP",0.36,"Dharmendra Kumar",0,"10th Pass",5364652,0,49,2.59,"2014","INC"
"31","Arakkonam","GEN","Tamil Nadu","Others",77.7,"M","Others",3.11,"Hari, G.",4,"Post Graduate",32966706,0,53,7.33,"2014","Others"
"32","Arambagh","SC","West Bengal","Others",85.1,"F","Others",8.74,"Aparupa Poddar (AFRIN ALI)",0,"Post Graduate",3271869,2e+05,28,5.38,"2014","Others"
"33","Arani","GEN","Tamil Nadu","Others",80,"M","INC",3.11,"V.Elumalai",0,"Graduate Professional",70492462,25000,58,7.33,"2014","INC"
"34","Araria","GEN","Bihar","Others",61.5,"M","BJP",11.53,"Tasleem Uddin",4,"Literate",42368468,1026919,72,-10.06,"2014","INC"
"35","Arrah","GEN","Bihar","BJP",48.8,"M","Others",11.53,"Raj Kumar Singh",0,"Graduate Professional",48403293,0,61,-10.06,"2014","INC"
"36","Aruku","ST","Andhra Pradesh","Others",71.5,"F","INC",2.44,"Kothapalli Geetha",0,"Post Graduate",65147467,43261606,43,6.15,"2014","INC"
"37","Arunachal East","GEN","Arunachal Pradesh","INC",83.5,"M","INC",9.64,"Ninong Ering",0,"Graduate",88065000,0,55,3.94,"2014","INC"
"38","Arunachal West","GEN","Arunachal Pradesh","BJP",75.2,"M","INC",9.64,"Kiren Rijiju",0,"Graduate Professional",12539868,475000,42,3.94,"2014","INC"
"39","Asansol","GEN","West Bengal","BJP",77.7,"M","Others",8.74,"Babul Supriya Baral (BABUL SUPRIYO)",0,"Graduate",75289537,14748456,43,5.38,"2014","Others"
"40","Aska","GEN","Orissa","Others",63.6,"M","Others",5.74,"Ladu Kishore Swain",0,"Graduate",3488390,25000,66,-3.25,"2014","Others"
"41","Attingal","GEN","Kerala","Others",68.7,"M","Others",18.41,"Dr.A .Sampath",1,"Doctorate",17791149,1421392,51,4.39,"2014","Others"
"42","Aurangabad","GEN","Bihar","BJP",51.2,"M","Others",11.53,"Sushil Kumar Singh",5,"Post Graduate",127845854,7321626,62,-10.06,"2014","BJP"
"43","Aurangabad","GEN","Maharashtra","Others",61.8,"M","Others",8.78,"Chandrakant Bhaurao Khaire",8,"12th Pass",90614560,20307244,48,3.99,"2014","Others"
"44","Autonomous District","ST","Assam","INC",77.4,"M","INC",4.28,"Biren Singh Engti",0,"Post Graduate",35367390,0,74,4.59,"2014","INC"
"45","Azamgarh","GEN","Uttar Pradesh","Others",56.4,"M","BJP",0.36,"Mulayam Singh Yadav",0,"Post Graduate",159671544,0,74,2.59,"2014","INC"
"46","Badaun","GEN","Uttar Pradesh","Others",58.1,"M","Others",0.36,"Dharmendra Yadav",0,"Post Graduate",24987715,8950291,37,2.59,"2014","INC"
"47","Bagalkot","GEN","Karnataka","BJP",68.8,"M","BJP",2.12,"Gaddigoudar Parvtagouda Chandanagouda",0,"Graduate Professional",36362500,9589199,61,1.25,"2014","INC"
"48","Baghpat","GEN","Uttar Pradesh","BJP",66.7,"M","Others",0.36,"Dr. Satya Pal Singh",0,"Doctorate",67402076,352000,58,2.59,"2014","Others"
"49","Baharampur","GEN","West Bengal","INC",79.4,"M","INC",8.74,"Adhir Ranjan Chowdhury",16,"10th Pass",81465854,0,58,5.38,"2014","Others"
"50","Bahraich","SC","Uttar Pradesh","BJP",57,"F","INC",0.36,"Sadhvi Savitri Bai Foole",8,"Graduate",1121491,538145,33,2.59,"2014","Others"
"51","Balaghat","GEN","Madhya Pradesh","BJP",68.3,"M","BJP",2.15,"Bodhsingh Bhagat",0,"Graduate",24959436,1393732,58,23.28,"2014","INC"
"52","Balasore","GEN","Orissa","Others",76.8,"M","INC",5.74,"Rabindra Kumar Jena",0,"Post Graduate",570139716,55893020,46,-3.25,"2014","Others"
"53","Ballia","GEN","Uttar Pradesh","BJP",53.3,"M","Others",0.36,"Bharat Singh",3,"Graduate",21130089,1102553,62,2.59,"2014","Others"
"54","Balurghat","GEN","West Bengal","Others",84.7,"F","Others",8.74,"Arpita Ghosh",0,"Graduate",544790,0,47,5.38,"2014","Others"
"55","Banaskantha","GEN","Gujarat","BJP",58.5,"M","INC",7.12,"Chaudhary Haribhai Parthibhai",0,"Graduate",15773564,0,59,-6.96,"2014","INC"
"56","Banda","GEN","Uttar Pradesh","BJP",53.6,"M","Others",0.36,"Bhairon Prasad Mishra",3,"12th Pass",50034910,6e+05,60,2.59,"2014","Others"
"57","Bangalore Central","GEN","Karnataka","BJP",55.6,"M","BJP",2.12,"P.C. Mohan",2,"12th Pass",475796999,261111285,50,1.25,"2014","Others"
"58","Bangalore North","GEN","Karnataka","BJP",56.5,"M","BJP",2.12,"D.V Sadananda Gowda",0,"Graduate Professional",98888874,37020152,61,1.25,"2014","INC"
"59","Bangalore Rural","GEN","Karnataka","INC",66.4,"M","Others",2.12,"D K Suresh",8,"12th Pass",858713138,184854756,47,1.25,"2014","Others"
"60","Bangalore South","GEN","Karnataka","BJP",55.7,"M","BJP",2.12,"Ananth Kumar",0,"Graduate Professional",45224706,2883233,54,1.25,"2014","INC"
"61","Bangaon","SC","West Bengal","Others",83.3,"M","Others",8.74,"Kapil Krishna Thakur",0,"Graduate",9667890,0,73,5.38,"2014","Others"
"62","Banka","GEN","Bihar","Others",58,"M","Others",11.53,"Jai Prakash Narayan Yadav",2,"Post Graduate",27846274,791539,60,-10.06,"2014","BJP"
"63","Bankura","GEN","West Bengal","Others",82.2,"F","Others",8.74,"Sreemati Dev Varma (MOON MOON SEN)",0,"Post Graduate",15314000,1013000,60,5.38,"2014","Others"
"64","Bansgaon","SC","Uttar Pradesh","BJP",49.9,"M","BJP",0.36,"Kamlesh Paswan",0,"Graduate",101640625,14568500,38,2.59,"2014","Others"
"65","Banswara","ST","Rajasthan","BJP",69.2,"M","INC",3.55,"Manshankar Ninama",0,"8th Pass",4040285,870146,58,0.22,"2014","INC"
"66","Bapatla","SC","Andhra Pradesh","Others",85,"M","INC",2.44,"Malyadri Sriram",0,"Post Graduate",45359744,0,60,6.15,"2014","INC"
"67","Bara Banki","SC","Uttar Pradesh","BJP",62.1,"F","INC",0.36,"Priyanka Singh Rawat",0,"Post Graduate",13175500,1450000,28,2.59,"2014","INC"
"68","Baramati","GEN","Maharashtra","Others",58.8,"F","Others",8.78,"Supriya Sule",0,"Graduate",1139090851,0,44,3.99,"2014","Others"
