Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,State
1,A K BISWAS,BSP,0,Graduate,61,"Rs 78,76,500","Rs 65,000",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 78 Lacs+,~ 65 Thou+,ANDAMAN & NICOBAR ISLANDS
2,ASIT BARAN DUTTA,IND,0,Graduate,50,"Rs 30,70,000",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 30 Lacs+,~ ,ANDAMAN & NICOBAR ISLANDS
3,BISHNU PADA RAY,BJP,0,Graduate,54,"Rs 12,50,619","Rs 1,28,710",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 12 Lacs+,~ 1 Lacs+,ANDAMAN & NICOBAR ISLANDS
4,DEEPAK BISWAS,IND,0,Not Given,28,"Rs 3,000",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 3 Thou+,~ ,ANDAMAN & NICOBAR ISLANDS
5,DR SHANMUGAM,LJNSP,0,Doctorate,66,"Rs 61,66,416","Rs 67,070",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 61 Lacs+,~ 67 Thou+,ANDAMAN & NICOBAR ISLANDS
6,GOUR CHANDRA MAJUMDER,IND,0,Graduate,37,"Rs 36,200",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 36 Thou+,~ ,ANDAMAN & NICOBAR ISLANDS
7,K KALIMUTHU,IND,1,8th Pass,51,"Rs 4,72,440","Rs 73,878",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 4 Lacs+,~ 73 Thou+,ANDAMAN & NICOBAR ISLANDS
8,K PERUMAL,SWD,0,Literate,65,"Rs 77,52,141",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 77 Lacs+,~ ,ANDAMAN & NICOBAR ISLANDS
9,MANORANJAN BHAKTA,INC,0,Post Graduate,65,"Rs 59,26,740","Rs 2,72,061",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 59 Lacs+,~ 2 Lacs+,ANDAMAN & NICOBAR ISLANDS
10,N K P NAIR,CPI(ML)(L),0,Literate,49,"Rs 7,72,588","Rs 1,88,000",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 7 Lacs+,~ 1 Lacs+,ANDAMAN & NICOBAR ISLANDS
11,R S UMA BHARATHY,NCP,1,Not Given,40,"Rs 59,977","Rs 35,000",ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 59 Thou+,~ 35 Thou+,ANDAMAN & NICOBAR ISLANDS
12,TAPAN KUMAR BEPARI,CPM,0,Post Graduate,46,"Rs 24,35,276",Rs 0,ANDAMAN & NICOBAR ISLANDS
,,,,,,~ 24 Lacs+,~ ,ANDAMAN & NICOBAR ISLANDS
1,A. C V. SUBBAIAH,BSP,0,Graduate,40,"Rs 1,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
2,A. JAGAN MOHAN RAO,TRS,0,Graduate,32,"Rs 5,05,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 5 Lacs+,~ ,ANDHRA PRADESH
3,A. NARENDRA,TRS,0,Graduate,49,"Rs 20,20,000","Rs 5,00,000",ANDHRA PRADESH
,,,,,,~ 20 Lacs+,~ 5 Lacs+,ANDHRA PRADESH
4,A.MALLA RAO,TRS,0,Others,42,"Rs 3,55,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 3 Lacs+,~ ,ANDHRA PRADESH
5,A.NAGESWARA RAO,PPOI,0,Graduate,54,"Rs 6,45,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 6 Lacs+,~ ,ANDHRA PRADESH
6,ABDUS SATTAR MUJAHED,Muslim League Kerala State Committee,0,Not Given,37,"Rs 80,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 80 Thou+,~ ,ANDHRA PRADESH
7,ACHANTA BAPIRAJU,IND,0,Graduate,64,"Rs 2,81,447",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
8,ADAPALA SIVANNARAYANA,PPOI,0,Others,32,"Rs 2,98,906",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
9,ALLA RAMA CHANDRA REDDY,IND,0,5th Pass,57,"Rs 9,00,000","Rs 25,000",ANDHRA PRADESH
,,,,,,~ 9 Lacs+,~ 25 Thou+,ANDHRA PRADESH
10,ALLURI YUGANDHARA RAJU,PPOI,0,Post Graduate,39,"Rs 4,51,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
11,AMBATI BRAHMANAIAH,TDP,0,Post Graduate,64,"Rs 15,46,471","Rs 1,68,301",ANDHRA PRADESH
,,,,,,~ 15 Lacs+,~ 1 Lacs+,ANDHRA PRADESH
12,ANANTHA VENKATA RAMI REDDY,INC,0,Post Graduate,47,"Rs 38,90,000","Rs 4,37,636",ANDHRA PRADESH
,,,,,,~ 38 Lacs+,~ 4 Lacs+,ANDHRA PRADESH
13,ANNAYYAGARI SAI PRATHAP,INC,0,12th Pass,59,"Rs 97,09,190","Rs 11,60,909",ANDHRA PRADESH
,,,,,,~ 97 Lacs+,~ 11 Lacs+,ANDHRA PRADESH
14,APPARAO DAMALAPATI,IND,0,10th Pass,60,"Rs 42,96,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 42 Lacs+,~ ,ANDHRA PRADESH
15,APPARAO GUDIVADA,IND,0,Not Given,63,"Rs 2,26,200",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
16,ARIKA GUMPASWAMY,IND,0,Not Given,55,"Rs 4,42,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
17,ARUNA CHANDRA,IND,0,Not Given,44,"Rs 2,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 2 Lacs+,~ ,ANDHRA PRADESH
18,ARUNA KUMAR VUNDAVALLI,INC,2,Graduate Professional,50,"Rs 2,34,31,318","Rs 8,81,017",ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ 8 Lacs+,ANDHRA PRADESH
19,ASADUDDIN OWAISI,AIMIM,3,Graduate Professional,37,"Rs 39,02,342",Rs 0,ANDHRA PRADESH
,,,,,,~ 39 Lacs+,~ ,ANDHRA PRADESH
20,ASHOKA RAO PEECHARA,TRS,0,12th Pass,47,"Rs 4,88,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
21,ASWINI DUTT CHALASANI,TDP,0,Others,53,"Rs 2,69,50,458","Rs 59,35,000",ANDHRA PRADESH
,,,,,,~ 2 Crore+,~ 59 Lacs+,ANDHRA PRADESH
22,B. S. AMARNATH,IND,0,Graduate,42,"Rs 33,698",Rs 0,ANDHRA PRADESH
,,,,,,~ 33 Thou+,~ ,ANDHRA PRADESH
23,B. SURENDER KUMAR,TRS,0,Graduate,31,"Rs 70,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 70 Thou+,~ ,ANDHRA PRADESH
24,B.K.PARDHASARATHI,TDP,0,Graduate,45,"Rs 43,06,482","Rs 21,96,288",ANDHRA PRADESH
,,,,,,~ 43 Lacs+,~ 21 Lacs+,ANDHRA PRADESH
25,B.N.V.SATYANARAYANA,TRS,0,Post Graduate,42,"Rs 50,000","Rs 10,50,000",ANDHRA PRADESH
,,,,,,~ 50 Thou+,~ 10 Lacs+,ANDHRA PRADESH
26,B.NARAYANA REDDY,RPI,0,Not Given,42,"Rs 15,07,000","Rs 27,000",ANDHRA PRADESH
,,,,,,~ 15 Lacs+,~ 27 Thou+,ANDHRA PRADESH
27,B.S.RAO,TRS,0,Others,42,"Rs 82,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 82 Lacs+,~ ,ANDHRA PRADESH
28,B.VINOD KUMAR,TRS,0,Graduate,45,"Rs 1,00,11,716",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Crore+,~ ,ANDHRA PRADESH
29,BADIGA RAMAKRISHNA,INC,0,12th Pass,61,"Rs 13,85,45,000","Rs 1,15,59,000",ANDHRA PRADESH
,,,,,,~ 13 Crore+,~ 1 Crore+,ANDHRA PRADESH
30,BAISA RAMADASU,IND,0,12th Pass,48,"Rs 11,100",Rs 0,ANDHRA PRADESH
,,,,,,~ 11 Thou+,~ ,ANDHRA PRADESH
31,BALAKONDAIAH KARUPOTALA,BJP,0,Graduate,65,"Rs 4,61,481",Rs 0,ANDHRA PRADESH
,,,,,,~ 4 Lacs+,~ ,ANDHRA PRADESH
32,BALASHOWRY VALLABHANENI,INC,0,Graduate,36,"Rs 10,32,38,914","Rs 3,50,000",ANDHRA PRADESH
,,,,,,~ 10 Crore+,~ 3 Lacs+,ANDHRA PRADESH
33,BANDARU DATTATRAYA,BJP,0,Graduate,57,"Rs 73,63,517",Rs 0,ANDHRA PRADESH
,,,,,,~ 73 Lacs+,~ ,ANDHRA PRADESH
34,BANOTH SOMLA NAIK,IND,0,Others,58,"Rs 44,60,000","Rs 3,06,157",ANDHRA PRADESH
,,,,,,~ 44 Lacs+,~ 3 Lacs+,ANDHRA PRADESH
35,BATHULA VIJAYA BHARATHI,TDP,0,Not Given,Unknown,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
36,BELLAIAH TEJAVATH,IND,0,Not Given,52,Nil,Rs 0,ANDHRA PRADESH
,,,,,,,~ ,ANDHRA PRADESH
37,BHAGWAN DAS,IND,0,Others,45,"Rs 1,02,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 1 Lacs+,~ ,ANDHRA PRADESH
38,BHARANIKANA RAMA RAO,IND,0,Post Graduate,Unknown,"Rs 99,12,102",Rs 0,ANDHRA PRADESH
,,,,,,~ 99 Lacs+,~ ,ANDHRA PRADESH
39,BHUMA SHOBHA NAGI REDDY,TDP,0,12th Pass,34,"Rs 3,40,03,688","Rs 48,19,821",ANDHRA PRADESH
,,,,,,~ 3 Crore+,~ 48 Lacs+,ANDHRA PRADESH
40,BODAKUNTI VENKATESHWARLU,TDP,0,Graduate,47,"Rs 69,33,697","Rs 39,26,747",ANDHRA PRADESH
,,,,,,~ 69 Lacs+,~ 39 Lacs+,ANDHRA PRADESH
41,BOLLA BULLI RAMAIAH,TDP,0,Others,77,"Rs 8,33,68,069","Rs 34,70,256",ANDHRA PRADESH
,,,,,,~ 8 Crore+,~ 34 Lacs+,ANDHRA PRADESH
42,BOYALLA RANGANAYAKULU,IND,0,Not Given,Unknown,"Rs 12,00,000",Rs 0,ANDHRA PRADESH
,,,,,,~ 12 Lacs+,~ ,ANDHRA PRADESH
43,BUDDA REDDY SRINIVASA REDDY,IND,0,Not Given,33,"Rs 66,86,000","Rs 23,00,000",ANDHRA PRADESH
,,,,,,~ 66 Lacs+,~ 23 Lacs+,ANDHRA PRADESH
44,BURRA VENKANNA,IND,0,5th Pass,39,"Rs 54,000","Rs 3,000",ANDHRA PRADESH
