Candidate,Constituency ?,Party,Criminal Case,Education,Total Assets,Liabilities
Ramesh Rathod,Adilabad,TDP,2,12th Pass,"Rsÿ34,10,000","Rsÿ8,15,241"
,,,,,~ 34ÿLacs+,~ 8ÿLacs+
DR. RAMSHANKAR,Agra,BJP,0,Doctorate,"Rsÿ15,11,000","Rsÿ6,39,959"
,,,,,~ 15ÿLacs+,~ 6ÿLacs+
HARIN PATHAK,Ahmedabad East,BJP,2,Post Graduate,"Rsÿ1,45,78,184","Rsÿ22,734"
,,,,,~ 1ÿCrore+,~ 22ÿThou+
KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,0,Graduate Professional,"Rsÿ2,61,22,439","Rsÿ7,09,488"
,,,,,~ 2ÿCrore+,~ 7ÿLacs+
GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP,9,10th Pass,"Rsÿ1,30,53,391","Rsÿ9,55,351"
,,,,,~ 1ÿCrore+,~ 9ÿLacs+
SACHIN PILOT,Ajmer,INC,0,Post Graduate,"Rsÿ4,64,89,558",Rsÿ0
,,,,,~ 4ÿCrore+,~ 
RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,"Rsÿ44,00,000","Rsÿ8,38,099"
,,,,,~ 44ÿLacs+,~ 8ÿLacs+
DHOTRE SANJAY SHAMRAO,Akola,BJP,4,Graduate Professional,"Rsÿ1,93,35,144","Rsÿ22,21,980"
,,,,,~ 1ÿCrore+,~ 22ÿLacs+
K C Venugopal,Alappuzha,INC,0,Post Graduate,"Rsÿ35,33,704","Rsÿ2,03,374"
,,,,,~ 35ÿLacs+,~ 2ÿLacs+
P K Biju,Alathur,CPM,0,Post Graduate,"Rsÿ4,61,000",Rsÿ0
,,,,,~ 4ÿLacs+,~ 
RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,"Rsÿ3,40,34,506",Rsÿ0
,,,,,~ 3ÿCrore+,~ 
Manohar Tirkey,Alipurduars,RSP,0,10th Pass,"Rsÿ23,58,725",Rsÿ0
,,,,,~ 23ÿLacs+,~ 
