Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
Godam Nagesh,ADILABAD,TRS,0,Post Graduate,"Rsÿ1,03,78,857","Rsÿ1,48,784"
,,,,,~ 1ÿCrore+,~ 1ÿLacs+
Dr. Ramshankar Katheria,AGRA,BJP,21,Doctorate,"Rsÿ1,46,34,885","Rsÿ40,35,000"
,,,,,~ 1ÿCrore+,~ 40ÿLacs+
Paresh Dahyalal Rawal,AHMEDABAD EAST,BJP,0,12th Pass,"Rsÿ79,52,11,576","Rsÿ8,14,72,461"
,,,,,~ 79ÿCrore+,~ 8ÿCrore+
Dr. Solanki Kiritbhai Premjibhai,AHMEDABAD WEST,BJP,0,Post Graduate,"Rsÿ3,40,85,266","Rsÿ2,08,007"
,,,,,~ 3ÿCrore+,~ 2ÿLacs+
Gandhi Dilipkumar Mansukhlal,AHMEDNAGAR,BJP,16,10th Pass,"Rsÿ6,53,16,725","Rsÿ3,41,76,876"
,,,,,~ 6ÿCrore+,~ 3ÿCrore+
Sanwar Lal Jat,AJMER,BJP,0,Doctorate,"Rsÿ1,80,64,656",Rsÿ0
,,,,,~ 1ÿCrore+,~ 
Devendra Singh Urf Bhole Singh,AKBARPUR,BJP,0,10th Pass,"Rsÿ2,85,46,617","Rsÿ5,59,965"
,,,,,~ 2ÿCrore+,~ 5ÿLacs+
Dhotre Sanjay Shyamrao,AKOLA,BJP,3,Graduate Professional,"Rsÿ4,85,01,735","Rsÿ69,28,458"
,,,,,~ 4ÿCrore+,~ 69ÿLacs+
K C Venugopal,ALAPPUZHA,INC,0,Post Graduate,"Rsÿ1,28,56,075","Rsÿ4,56,010"
,,,,,~ 1ÿCrore+,~ 4ÿLacs+
P.K.Biju,ALATHUR,CPI(M),0,Post Graduate,"Rsÿ32,31,047","Rsÿ3,41,749"
,,,,,~ 32ÿLacs+,~ 3ÿLacs+
Satish Kumar,ALIGARH,BJP,1,10th Pass,"Rsÿ5,21,80,006","Rsÿ7,54,800"
,,,,,~ 5ÿCrore+,~ 7ÿLacs+
Dasrath Tirkey,ALIPURDUARS,AITC,0,Graduate,"Rsÿ35,50,353","Rsÿ2,93,909"
,,,,,~ 35ÿLacs+,~ 2ÿLacs+
Shyama Charan Gupta,ALLAHABAD,BJP,0,Graduate Professional,"Rsÿ47,28,51,707",Rsÿ0
,,,,,~ 47ÿCrore+,~ 
Ajay Tamta,ALMORA,BJP,0,12th Pass,"Rsÿ63,66,653","Rsÿ27,57,846"
,,,,,~ 63ÿLacs+,~ 27ÿLacs+
Mahant Chand Nath Yogi,ALWAR,BJP,0,Graduate,"Rsÿ1,99,653",Rsÿ0
,,,,,~ 1ÿLacs+,~ 
Pandula Ravindra Babu,AMALAPURAM,TDP,0,Graduate Professional,"Rsÿ2,71,31,000","Rsÿ30,00,000"
